,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,Bambanglipuro,-7.95,110.2833,79.11,88,6,6.82,ID,1592265600
139,Sohag,26.557,31.6948,77.43,30,0,5.23,EG,1592265600
140,Saint George,37.1041,-113.5841,95.32,9,1,20.47,US,1592265600
141,Anloga,5.7947,0.8973,80.08,84,31,10.89,GH,1592265600
142,Tūkrah,32.5341,20.5791,72.36,75,0,17.87,LY,1592265600
143,Buraidah,26.326,43.975,91.99,15,0,10.09,SA,1592265600
144,Hithadhoo,-0.6,73.0833,84.36,75,77,14.05,MV,1592265600
145,Mount Gambier,-37.8333,140.7667,56.1,84,86,11.65,AU,1592265600
146,Yenotayevka,47.2456,47.0281,75.96,28,95,16.98,RU,1592265600
147,Poronaysk,49.2167,143.1167,47.73,92,100,7.2,RU,1592265600
148,Bethel,41.3712,-73.414,67.77,58,43,4.79,US,1592265600
149,Clyde River,70.4692,-68.5914,31.95,97,93,15.41,CA,1592265600
150,Yārāda,17.65,83.2667,84.4,76,100,20.38,IN,1592265600
151,Torbay,47.6666,-52.7314,45.97,100,95,0.65,CA,1592265600
152,Fortuna,40.5982,-124.1573,59.25,86,84,5.37,US,1592265600
153,Muli,2.9167,73.5667,84.2,77,76,12.28,MV,1592265600
154,Lavrentiya,65.5833,-171.0,51.66,53,60,3.18,RU,1592265600
155,Karlskrona,56.1616,15.5866,57.0,86,94,5.48,SE,1592265600
156,Kosa,59.9445,54.9977,55.02,85,56,5.66,RU,1592265600
157,Singkawang,0.9,109.0,78.69,91,100,5.39,ID,1592265600
158,Zharkovskiy,55.849,32.2697,61.99,98,35,4.94,RU,1592265600
159,Luganville,-15.5333,167.1667,81.3,79,51,16.02,VU,1592265600
160,Comodoro Rivadavia,-45.8667,-67.5,47.17,84,100,2.98,AR,1592265600
161,Ankpa,7.3706,7.6253,74.89,88,67,2.46,NG,1592265600
162,Broome,42.2506,-75.833,66.33,59,3,4.03,US,1592265600
163,Guarapari,-20.6667,-40.4975,71.4,88,93,11.88,BR,1592265600
164,Ilulissat,69.2167,-51.1,37.08,77,98,7.74,GL,1592265600
165,Port Lincoln,-34.7333,135.8667,59.36,75,60,15.01,AU,1592265600
166,Castro,-24.7911,-50.0119,56.34,94,35,7.0,BR,1592265600
167,Adrar,20.5022,-10.0711,101.05,13,18,16.2,MR,1592265600
168,Vila,42.0304,-8.1588,53.49,91,87,2.3,PT,1592265600
169,Wufeng,27.45,104.8333,65.37,96,98,4.94,CN,1592265600
170,Airai,-8.9266,125.4092,65.93,92,63,4.9,TL,1592265600
171,Laguna,38.421,-121.4238,83.98,30,49,15.84,US,1592265600
172,Rio Grande,-32.035,-52.0986,59.41,84,49,12.08,BR,1592265600
173,Norman Wells,65.282,-126.8329,69.4,32,85,12.06,CA,1592265600
174,Yangi Marg`ilon,40.4272,71.7189,72.93,32,0,3.62,UZ,1592265600
175,Rafai,4.95,23.9167,69.31,96,96,0.87,CF,1592265600
176,Ende,-8.8432,121.6623,79.68,78,52,5.86,ID,1592265600
177,Bonavista,48.6499,-53.1147,45.72,87,100,11.54,CA,1592265600
178,Tual,-5.6667,132.75,81.12,81,78,26.26,ID,1592265600
179,Katsuura,35.1333,140.3,75.74,71,79,10.09,JP,1592265600
180,Pisco,-13.7,-76.2167,64.15,79,27,5.75,PE,1592265600
181,Severo-Kuril'sk,50.6789,156.125,42.82,89,99,13.85,RU,1592265600
182,Markova,48.6758,24.4138,58.03,93,66,1.25,UA,1592265600
183,Pospelikha,51.95,81.7667,51.22,76,88,9.44,RU,1592265600
184,Fort Nelson,58.8053,-122.7002,49.66,93,95,9.95,CA,1592265600
185,Bira,49.0,132.4667,56.35,81,51,2.75,RU,1592265600
186,St. Pete Beach,27.7253,-82.7412,87.31,46,1,13.15,US,1592265600
187,Karratha,-20.7377,116.8463,69.49,38,0,19.22,AU,1592265600
188,São Simão,-21.4792,-47.5508,69.62,63,0,7.07,BR,1592265600
189,Port-Cartier,50.0334,-66.8654,61.88,44,52,12.08,CA,1592265600
190,Avarua,-21.2078,-159.775,73.35,69,22,24.61,CK,1592265600
191,Alice Springs,-23.7,133.8833,54.91,47,100,14.38,AU,1592265600
192,Malibu,34.005,-118.8101,71.22,70,33,6.4,US,1592265600
193,Ghanzi,-21.5667,21.7833,45.73,48,0,4.85,BW,1592265600
194,Banda Aceh,5.5577,95.3222,80.19,78,100,7.36,ID,1592265600
195,Necochea,-38.5473,-58.7368,50.5,59,37,12.86,AR,1592265600
196,Batemans Bay,-35.7167,150.1833,63.01,71,5,8.7,AU,1592265600
197,Lagoa,39.05,-27.9833,64.42,86,56,15.17,PT,1592265600
198,Andenes,69.3143,16.1194,45.48,69,97,4.76,NO,1592265600
199,Yazman,29.1212,71.7446,97.56,13,0,5.53,PK,1592265600
200,Honiara,-9.4333,159.95,86.68,79,67,6.13,SB,1592265600
201,Varberg,57.1056,12.2508,62.64,71,13,3.91,SE,1592265600
202,Hofn,64.2539,-15.2082,48.96,90,93,12.48,IS,1592265600
203,Maputo,-25.9653,32.5892,61.66,77,21,9.66,MZ,1592265600
204,Yamada,39.4667,141.95,75.4,60,50,9.06,JP,1592265600
205,Yilan,24.757,121.753,88.25,70,72,1.7,TW,1592265600
206,Salalah,17.0151,54.0924,84.88,84,68,5.75,OM,1592265600
207,Taoudenni,22.6783,-3.9836,101.01,11,0,15.23,ML,1592265600
208,Vuktyl,63.8567,57.3094,60.51,82,97,5.82,RU,1592265600
209,Visby,57.6409,18.296,55.69,98,87,6.22,SE,1592265600
210,Dingle,10.9995,122.6711,82.9,84,100,8.12,PH,1592265600
211,Longyearbyen,78.2186,15.6401,35.98,80,61,8.9,SJ,1592265600
212,Kaitangata,-46.2817,169.8464,55.2,64,79,4.29,NZ,1592265600
213,Kavieng,-2.5744,150.7967,85.1,72,56,12.37,PG,1592265600
214,Beloha,-25.1667,45.05,61.83,95,0,6.78,MG,1592265600
215,Collie,-33.3667,116.15,52.79,82,94,4.09,AU,1592265600
216,Kendari,-3.945,122.4989,77.2,93,75,2.71,ID,1592265600
217,Brigham City,41.5102,-112.0155,78.85,21,40,6.96,US,1592265600
218,Emba,48.8264,58.1442,58.37,45,0,5.41,KZ,1592265600
219,Antanifotsy,-19.65,47.3167,52.66,90,99,2.59,MG,1592265600
220,Nagato,34.3833,131.2,74.05,72,70,9.04,JP,1592265600
221,Arroio do Meio,-29.4011,-51.945,58.62,88,87,0.36,BR,1592265600
222,Nanortalik,60.1432,-45.2371,40.93,83,94,9.15,GL,1592265600
223,Abu Dhabi,24.4667,54.3667,91.87,54,0,16.4,AE,1592265600
224,Crawfordsville,40.0411,-86.8745,73.99,57,39,7.11,US,1592265600
225,Médéa,36.2642,2.7539,64.33,58,0,2.1,DZ,1592265600
226,Geraldton,-28.7667,114.6,59.05,64,0,14.54,AU,1592265600
227,Qujing,25.4833,103.7833,63.77,90,82,10.85,CN,1592265600
228,Kawalu,-7.3817,108.2082,74.55,91,46,0.72,ID,1592265600
229,Nhulunbuy,-12.2333,136.7667,81.88,74,65,17.13,AU,1592265600
230,Lüderitz,-26.6481,15.1594,69.13,18,0,22.86,NA,1592265600
231,Yaan,7.3833,8.5667,78.08,83,58,4.25,NG,1592265600
232,Iqaluit,63.7506,-68.5145,38.55,75,87,8.5,CA,1592265600
233,Kandrian,-6.2167,149.55,85.01,79,45,9.06,PG,1592265600
234,Jumla,29.2747,82.1838,59.34,67,75,3.22,NP,1592265600
235,Karakol,42.4907,78.3936,55.98,45,91,2.24,KG,1592265600
236,Sain Alto,23.5833,-103.25,81.57,19,2,9.22,MX,1592265600
237,Urucará,-2.5364,-57.76,81.73,68,26,1.16,BR,1592265600
238,Pangnirtung,66.1451,-65.7125,37.83,81,94,3.51,CA,1592265600
239,Rawson,-43.3002,-65.1023,50.38,57,100,19.66,AR,1592265600
240,Wanaka,-44.7,169.15,50.5,77,100,4.43,NZ,1592265600
241,Yerbogachën,61.2767,108.0108,56.07,63,34,3.98,RU,1592265600
242,Bubaque,11.2833,-15.8333,81.68,81,42,12.75,GW,1592265600
243,Vila Franca do Campo,37.7167,-25.4333,62.2,78,12,9.33,PT,1592265600
244,Ulaanbaatar,47.9077,106.8832,68.56,37,60,4.74,MN,1592265600
245,Port Blair,11.6667,92.75,83.53,81,100,18.9,IN,1592265600
246,Palmer,42.1584,-72.3287,67.8,55,84,3.44,US,1592265600
247,Bathsheba,13.2167,-59.5167,82.67,72,25,18.28,BB,1592265600
248,Vinces,-1.55,-79.7333,80.49,68,48,1.21,EC,1592265600
249,Buala,-8.145,159.5921,84.33,78,64,9.75,SB,1592265600
250,Novodmitriyevskaya,44.8347,38.8772,67.26,88,17,3.65,RU,1592265600
251,Auki,-8.7676,160.7034,86.2,71,50,5.7,SB,1592265600
252,Sitka,57.0531,-135.33,57.72,72,92,7.4,US,1592265600
253,Khovd,48.0056,91.6419,66.04,39,12,2.19,MN,1592265600
254,Hobyo,5.3505,48.5268,80.06,72,55,23.24,SO,1592265600
255,Provideniya,64.3833,-173.3,59.9,51,100,2.06,RU,1592265600
256,Kenai,60.5544,-151.2583,57.38,56,14,12.73,US,1592265600
257,Tilichiki,60.4667,166.1,53.6,59,82,7.27,RU,1592265600
258,Kota Belud,6.351,116.4305,83.25,80,54,1.88,MY,1592265600
